method,batch,reference_cell_type,target_cell_type,n_reference_cells,n_target_cells,n_pairwise_distances,alpha_baseline,mean_relative_separation,median_relative_separation
Seurat_CCA,celseq2,alpha,endothelial,500,21,10000,5.796310869359346,10.995271946597864,10.981607296658865
Seurat_CCA,celseq2,alpha,gamma,500,110,10000,5.796310869359346,2.9441475521949663,2.8142569075744728
Seurat_CCA,celseq2,alpha,macrophage,500,15,7500,5.796310869359346,13.943127053694049,14.253924532084072
Seurat_CCA,celseq2,alpha,quiescent_stellate,500,12,6000,5.796310869359346,9.068445796501273,8.929364317758967
Seurat_CCA,fluidigmc1,alpha,acinar,241,21,5061,6.0845332143061395,5.05627982705175,4.966857870225487
Seurat_CCA,fluidigmc1,alpha,activated_stellate,241,16,3856,6.0845332143061395,9.797542990126804,9.880487606734306
Seurat_CCA,fluidigmc1,alpha,alpha,241,241,10000,6.0845332143061395,1.4862389108827927,1
Seurat_CCA,fluidigmc1,alpha,beta,241,258,10000,6.0845332143061395,2.785881579517137,2.619202160451339
Seurat_CCA,fluidigmc1,alpha,delta,241,25,6025,6.0845332143061395,2.805823089279363,2.6605230472210564
Seurat_CCA,fluidigmc1,alpha,ductal,241,34,8194,6.0845332143061395,6.3566259769100615,6.287495521129574
Seurat_CCA,fluidigmc1,alpha,endothelial,241,14,3374,6.0845332143061395,9.656897056393017,9.959867561151773
Seurat_CCA,fluidigmc1,alpha,gamma,241,18,4338,6.0845332143061395,2.8631496281961253,2.777825218797264
Seurat_CCA,indrop,alpha,acinar,500,500,10000,10.092013625182304,2.8598077950492633,2.8279271818924716
Seurat_CCA,indrop,alpha,activated_stellate,500,294,10000,10.092013625182304,5.333387573340805,5.432941602814909
Seurat_CCA,indrop,alpha,alpha,500,500,10000,10.092013625182304,1.047357148934589,1
Seurat_CCA,indrop,alpha,beta,500,500,10000,10.092013625182304,1.6365723767115994,1.6144116481979551
Seurat_CCA,indrop,alpha,delta,500,500,10000,10.092013625182304,1.5895121789608075,1.571441273631709
Seurat_CCA,indrop,alpha,ductal,500,500,10000,10.092013625182304,3.5167425571909123,3.5518019110263244
Seurat_CCA,indrop,alpha,endothelial,500,235,10000,10.092013625182304,5.48585864930649,5.438962575805384
Seurat_CCA,indrop,alpha,epsilon,500,16,8000,10.092013625182304,1.3570694744139489,1.3267907497393885
Seurat_CCA,indrop,alpha,gamma,500,266,10000,10.092013625182304,1.5947304510337055,1.5761362269012373
Seurat_CCA,indrop,alpha,macrophage,500,55,10000,10.092013625182304,6.8194075794493365,7.255725902310567
Seurat_CCA,indrop,alpha,mast,500,39,10000,10.092013625182304,4.094103010416667,4.527933956444478
Seurat_CCA,indrop,alpha,quiescent_stellate,500,160,10000,10.092013625182304,4.200316103802939,4.179796181554037
Seurat_CCA,indrop,alpha,schwann,500,13,6500,10.092013625182304,4.0840569630047225,4.035613157389486
Seurat_CCA,smartseq2,alpha,acinar,500,188,10000,6.856737096450859,4.867638507276022,4.639728510671194
Seurat_CCA,smartseq2,alpha,activated_stellate,500,55,10000,6.856737096450859,8.740457024601808,9.008630139964561
Seurat_CCA,smartseq2,alpha,alpha,500,500,10000,6.856737096450859,1.5422528927605579,1
Seurat_CCA,smartseq2,alpha,beta,500,308,10000,6.856737096450859,2.658481837540496,2.4439723615209816
Seurat_CCA,smartseq2,alpha,delta,500,127,10000,6.856737096450859,2.5892734433625484,2.3936514436935896
Seurat_CCA,smartseq2,alpha,ductal,500,444,10000,6.856737096450859,5.731109284437829,5.729300178453136
Seurat_CCA,smartseq2,alpha,endothelial,500,21,10000,6.856737096450859,9.425331985083748,9.714228306668714
Seurat_CCA,smartseq2,alpha,gamma,500,213,10000,6.856737096450859,2.5404033375994324,2.346420521285929
