method,batch_1,batch_2,batch_pair,cell_type,n_cells_batch_1,n_cells_batch_2,n_cross_distances,n_within_distances_batch_1,n_within_distances_batch_2,median_cross_batch_distance,within_baseline,R_tech,tech_deviation
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,ductal,34,500,10000,561,10000,0.3756244652334362,0.39495246524242716,0.9510624652079911,0.05017553488405734
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,endothelial,14,235,3290,91,10000,0.22366352102428727,0.27313390521833586,0.8188786406634383,0.19981938600691512
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,gamma,18,266,4788,153,10000,0.301402395172229,0.38959862113496707,0.7736228488031928,0.25667079959774236
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,acinar,21,188,3948,210,10000,0.32907781698418925,0.32302067973325704,1.018751546358995,0.018577903470183305
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,activated_stellate,16,55,880,120,1485,0.08692977155099729,0.11166143809343766,0.7785120184307044,0.25037084989442254
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,alpha,241,500,10000,10000,10000,0.4189639441797173,0.382295505420268,1.0959164788483156,0.09159098019167344
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,beta,258,308,10000,10000,10000,0.378175334157898,0.34200013781236444,1.105775385287654,0.10054679503174488
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,delta,25,127,3175,300,8001,0.2407791669311562,0.2705313735136132,0.8900230823654918,0.11650788135013852
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,ductal,34,444,10000,561,10000,0.3231871182637333,0.31255140990654556,1.0340286686288438,0.033462501648537875
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,endothelial,14,21,294,91,210,0.01772976768807287,0.014650291124706602,1.210199001313562,0.19078480998145164
MNN,fluidigmc1,smartseq2,fluidigmc1 vs smartseq2,gamma,18,213,3834,153,10000,0.249937519313894,0.3006951658062204,0.8311989939837057,0.18488604951581905
MNN,indrop,smartseq2,indrop vs smartseq2,acinar,500,188,10000,10000,10000,0.389677060124233,0.3066563788553485,1.270728695025926,0.23959051153517816
MNN,indrop,smartseq2,indrop vs smartseq2,activated_stellate,294,55,10000,10000,1485,0.23160244204207864,0.2906794902551934,0.7967622409092233,0.2271989622517545
MNN,indrop,smartseq2,indrop vs smartseq2,alpha,500,500,10000,10000,10000,0.5321958380889609,0.4953749322564867,1.074329368393251,0.0716966235532779
MNN,indrop,smartseq2,indrop vs smartseq2,beta,500,308,10000,10000,10000,0.48835445182290577,0.4405691679688549,1.1084626145636884,0.10297402335635888
MNN,indrop,smartseq2,indrop vs smartseq2,delta,500,127,10000,10000,8001,0.3449633117624477,0.3357159715345769,1.027545130443454,0.02717258899638926
MNN,indrop,smartseq2,indrop vs smartseq2,ductal,500,444,10000,10000,10000,0.38450088228447893,0.3572784430852115,1.076193903455784,0.07343065317680214
